timestamp,src_ip,dest_ip,protocol,bytes_out,analysis_note
2026-03-12T09:00:00,10.0.2.55,203.0.113.77,TLS,540,Possible beacon interval
2026-03-12T09:01:00,10.0.2.55,52.96.40.10,DNS,1329,Likely normal traffic
2026-03-12T09:02:00,10.0.2.55,142.250.72.14,HTTP,4814,Likely normal traffic
2026-03-12T09:03:00,10.0.2.55,142.250.72.14,TLS,1592,Likely normal traffic
2026-03-12T09:04:00,10.0.2.55,52.96.40.10,HTTP,983,Likely normal traffic
2026-03-12T09:05:00,10.0.2.55,142.250.72.14,DNS,4026,Likely normal traffic
2026-03-12T09:06:00,10.0.2.55,203.0.113.77,TLS,540,Possible beacon interval
2026-03-12T09:07:00,10.0.2.55,52.96.40.10,HTTP,3778,Likely normal traffic
2026-03-12T09:08:00,10.0.2.55,13.107.42.12,TLS,1479,Likely normal traffic
2026-03-12T09:09:00,10.0.2.55,52.96.40.10,TLS,4374,Likely normal traffic
2026-03-12T09:10:00,10.0.2.55,13.107.42.12,DNS,2011,Likely normal traffic
2026-03-12T09:11:00,10.0.2.55,142.250.72.14,DNS,3378,Likely normal traffic
2026-03-12T09:12:00,10.0.2.55,203.0.113.77,TLS,540,Possible beacon interval
2026-03-12T09:13:00,10.0.2.55,52.96.40.10,TLS,1017,Likely normal traffic
2026-03-12T09:14:00,10.0.2.55,13.107.42.12,HTTP,4930,Likely normal traffic
2026-03-12T09:15:00,10.0.2.55,13.107.42.12,TLS,4091,Likely normal traffic
2026-03-12T09:16:00,10.0.2.55,142.250.72.14,HTTP,1782,Likely normal traffic
2026-03-12T09:17:00,10.0.2.55,52.96.40.10,HTTP,4326,Likely normal traffic
2026-03-12T09:18:00,10.0.2.55,203.0.113.77,TLS,540,Possible beacon interval
2026-03-12T09:19:00,10.0.2.55,52.96.40.10,TLS,336,Likely normal traffic
2026-03-12T09:20:00,10.0.2.55,13.107.42.12,DNS,513,Likely normal traffic
2026-03-12T09:21:00,10.0.2.55,142.250.72.14,HTTP,1034,Likely normal traffic
2026-03-12T09:22:00,10.0.2.55,142.250.72.14,DNS,1982,Likely normal traffic
2026-03-12T09:23:00,10.0.2.55,52.96.40.10,HTTP,2069,Likely normal traffic
2026-03-12T09:24:00,10.0.2.55,203.0.113.77,TLS,540,Possible beacon interval
2026-03-12T09:25:00,10.0.2.55,142.250.72.14,TLS,3040,Likely normal traffic
2026-03-12T09:26:00,10.0.2.55,52.96.40.10,TLS,4131,Likely normal traffic
2026-03-12T09:27:00,10.0.2.55,13.107.42.12,HTTP,1491,Likely normal traffic
2026-03-12T09:28:00,10.0.2.55,142.250.72.14,DNS,1456,Likely normal traffic
2026-03-12T09:29:00,10.0.2.55,52.96.40.10,HTTP,1028,Likely normal traffic
2026-03-12T09:30:00,10.0.2.55,203.0.113.77,TLS,540,Possible beacon interval
2026-03-12T09:31:00,10.0.2.55,13.107.42.12,HTTP,613,Likely normal traffic
2026-03-12T09:32:00,10.0.2.55,13.107.42.12,TLS,1886,Likely normal traffic
2026-03-12T09:33:00,10.0.2.55,13.107.42.12,DNS,2269,Likely normal traffic
2026-03-12T09:34:00,10.0.2.55,13.107.42.12,DNS,4208,Likely normal traffic
2026-03-12T09:35:00,10.0.2.55,13.107.42.12,DNS,201,Likely normal traffic
2026-03-12T09:36:00,10.0.2.55,203.0.113.77,TLS,540,Possible beacon interval
2026-03-12T09:37:00,10.0.2.55,52.96.40.10,DNS,2028,Likely normal traffic
2026-03-12T09:38:00,10.0.2.55,52.96.40.10,TLS,3587,Likely normal traffic
2026-03-12T09:39:00,10.0.2.55,13.107.42.12,TLS,267,Likely normal traffic
2026-03-12T09:40:00,10.0.2.55,13.107.42.12,DNS,1085,Likely normal traffic
2026-03-12T09:41:00,10.0.2.55,52.96.40.10,HTTP,4216,Likely normal traffic
2026-03-12T09:42:00,10.0.2.55,203.0.113.77,TLS,540,Possible beacon interval
2026-03-12T09:43:00,10.0.2.55,13.107.42.12,TLS,1912,Likely normal traffic
2026-03-12T09:44:00,10.0.2.55,52.96.40.10,TLS,2767,Likely normal traffic
2026-03-12T09:45:00,10.0.2.55,52.96.40.10,DNS,4570,Likely normal traffic
2026-03-12T09:46:00,10.0.2.55,52.96.40.10,TLS,2759,Likely normal traffic
2026-03-12T09:47:00,10.0.2.55,52.96.40.10,TLS,4395,Likely normal traffic
2026-03-12T09:48:00,10.0.2.55,203.0.113.77,TLS,540,Possible beacon interval
2026-03-12T09:49:00,10.0.2.55,142.250.72.14,DNS,3780,Likely normal traffic
2026-03-12T09:50:00,10.0.2.55,142.250.72.14,HTTP,4099,Likely normal traffic
2026-03-12T09:51:00,10.0.2.55,52.96.40.10,TLS,3528,Likely normal traffic
2026-03-12T09:52:00,10.0.2.55,52.96.40.10,TLS,602,Likely normal traffic
2026-03-12T09:53:00,10.0.2.55,142.250.72.14,TLS,3979,Likely normal traffic
2026-03-12T09:54:00,10.0.2.55,203.0.113.77,TLS,540,Possible beacon interval
2026-03-12T09:55:00,10.0.2.55,142.250.72.14,TLS,4766,Likely normal traffic
2026-03-12T09:56:00,10.0.2.55,142.250.72.14,TLS,854,Likely normal traffic
2026-03-12T09:57:00,10.0.2.55,142.250.72.14,DNS,3729,Likely normal traffic
2026-03-12T09:58:00,10.0.2.55,13.107.42.12,TLS,2320,Likely normal traffic
2026-03-12T09:59:00,10.0.2.55,142.250.72.14,DNS,1492,Likely normal traffic
